epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,68918.1,1.00652,0.42568,0.00615,0.94598,0.90005,0.93881,0.57233,1.45352,0.57016,0.00994,0.0009605,0.0009605,0.0009605
107,69575.7,1.01116,0.43864,0.00629,0.92761,0.92523,0.96282,0.5676,1.52969,0.57029,0.01006,0.0009506,0.0009506,0.0009506
108,70247.9,1.04371,0.4354,0.0064,0.97011,0.88318,0.96311,0.58581,1.44976,0.56572,0.0101,0.0009407,0.0009407,0.0009407
109,70915.8,1.0117,0.46171,0.00644,0.95725,0.92991,0.9646,0.55881,1.58166,0.56098,0.01089,0.0009308,0.0009308,0.0009308
110,71601.4,1.0156,0.43341,0.00626,0.97028,0.91537,0.95747,0.59589,1.38714,0.49342,0.00927,0.0009209,0.0009209,0.0009209
111,72319.5,1.00574,0.42359,0.0061,0.94392,0.94385,0.96245,0.59948,1.43772,0.4952,0.00954,0.000911,0.000911,0.000911
112,72978.9,0.98868,0.43177,0.00604,0.93543,0.93925,0.95734,0.59228,1.47631,0.4598,0.00978,0.0009011,0.0009011,0.0009011
113,73640.3,0.98922,0.40762,0.00604,0.96002,0.89777,0.93834,0.56957,1.5568,0.56914,0.00972,0.0008912,0.0008912,0.0008912
114,74329.2,1.0055,0.4044,0.00606,0.95466,0.91121,0.94771,0.54359,1.64551,0.52401,0.01093,0.0008813,0.0008813,0.0008813
115,74991.5,1.013,0.41965,0.00628,0.95376,0.91121,0.96014,0.58067,1.51181,0.52226,0.00974,0.0008714,0.0008714,0.0008714
116,75626.6,0.96933,0.41716,0.00607,0.93827,0.95794,0.97514,0.58687,1.40076,0.46751,0.00908,0.0008615,0.0008615,0.0008615
117,76255.8,0.97892,0.39433,0.00596,0.97774,0.93458,0.97048,0.57146,1.45241,0.48809,0.01031,0.0008516,0.0008516,0.0008516
