epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,32240.7,0.92326,0.44164,0.0054,0.92345,0.90195,0.95297,0.59863,1.32632,0.49976,0.00905,0.0008912,0.0008912,0.0008912
114,32537.7,0.90585,0.43761,0.00536,0.93797,0.91866,0.95655,0.60966,1.29715,0.47431,0.00904,0.0008813,0.0008813,0.0008813
115,32835.9,0.94308,0.445,0.00546,0.93297,0.91057,0.94959,0.60377,1.32131,0.47765,0.00918,0.0008714,0.0008714,0.0008714
116,33115.1,0.91737,0.43639,0.00503,0.9038,0.93458,0.95773,0.63865,1.21588,0.4907,0.00846,0.0008615,0.0008615,0.0008615
117,33385.5,0.96566,0.4707,0.00533,0.94016,0.8972,0.94324,0.59155,1.30322,0.51513,0.00922,0.0008516,0.0008516,0.0008516
118,33665.6,0.91236,0.43834,0.0053,0.94275,0.92337,0.95645,0.59745,1.31809,0.5612,0.00918,0.0008417,0.0008417,0.0008417
119,33940.8,0.92133,0.42181,0.00571,0.93361,0.91992,0.95965,0.59518,1.32899,0.55104,0.00928,0.0008318,0.0008318,0.0008318
120,34213.3,0.89757,0.3967,0.00529,0.92684,0.92523,0.95129,0.60369,1.37823,0.52378,0.00916,0.0008219,0.0008219,0.0008219
121,34490.1,0.91231,0.41766,0.00507,0.94173,0.90619,0.95936,0.60622,1.32003,0.5056,0.00916,0.000812,0.000812,0.000812
122,34770.7,0.89824,0.40161,0.00521,0.92538,0.92717,0.96222,0.61665,1.21801,0.46203,0.00852,0.0008021,0.0008021,0.0008021
123,35053.5,0.86874,0.3925,0.00514,0.94083,0.91121,0.95259,0.61211,1.27883,0.51407,0.00868,0.0007922,0.0007922,0.0007922
124,35338.8,0.86593,0.38854,0.00535,0.90041,0.92056,0.94634,0.61302,1.25892,0.52674,0.00866,0.0007823,0.0007823,0.0007823
125,35611.5,0.88288,0.42008,0.00516,0.9299,0.92983,0.93005,0.60326,1.30072,0.49176,0.00898,0.0007724,0.0007724,0.0007724
126,35888.1,0.86838,0.40243,0.00514,0.94156,0.90654,0.93578,0.6084,1.26752,0.47342,0.00899,0.0007625,0.0007625,0.0007625
127,36162.7,0.87786,0.41132,0.00506,0.89879,0.91121,0.93434,0.61555,1.23307,0.45085,0.00862,0.0007526,0.0007526,0.0007526
128,36431.8,0.86562,0.3698,0.00497,0.93105,0.88341,0.94213,0.59482,1.23643,0.51274,0.00872,0.0007427,0.0007427,0.0007427
129,36703.3,0.86951,0.3945,0.0051,0.92216,0.92991,0.94737,0.62071,1.2514,0.48436,0.00874,0.0007328,0.0007328,0.0007328
130,36968,0.88154,0.40413,0.0049,0.94253,0.91961,0.9563,0.60722,1.31106,0.46471,0.00899,0.0007229,0.0007229,0.0007229
131,37251.9,0.86136,0.39805,0.00485,0.95792,0.92056,0.95068,0.60241,1.28458,0.50909,0.00888,0.000713,0.000713,0.000713
132,37533.6,0.87382,0.39709,0.00516,0.91081,0.92056,0.94801,0.61087,1.25591,0.50662,0.00867,0.0007031,0.0007031,0.0007031
133,37815.9,0.87228,0.40524,0.00494,0.94654,0.91589,0.95104,0.6114,1.26758,0.47471,0.00856,0.0006932,0.0006932,0.0006932
